Titre VF;Titre VO;Auteur(s);Format;Lectorat;Genre 1;Genre 2;Editeur;Collection;Année;Nombre de pages;Langue;Note personnelle (/20);Moyenne (/20);Date de lecture;Date d'achat;Type de livre;ISBN;Résumé
Accidentally Amy;Accidentally Amy;Painter Lynn;Roman;Adulte;Romance;Contemporain;Berkley Books;;2025;352;Anglaise;;15,8;17/12/2025 17:12;17/12/2025 17:12;Livre papier;978-0593817087;"Isabella Shay is usually a very honest person.

But when she’s running late for her first day at a dream job and the barista yells for “Amy” 3x with no answer, she does the unthinkable.

Izzy takes that PSL.

It’s the exact drink she ordered and paid for, only waaaay further ahead in the line, so she mutters “I’m Amy” and grabs the cup.

But when she turns around and runs directly into the most attractive man she’s ever seen, spilling the drink all over his GQ shirt and tie, she ends up having the ultimate meet-cute. Sparks fly and things feel beyond promising until he says the words, “See you tomorrow, Amy.”

Uh, oh – she’ll definitely have to straighten him out the following day.

Only when she gets to her new office and meets the VP of her department, it is none other than Blake Phillips - the hottie from Starbucks. And the man might’ve been charming to “Amy,” but he is an arrogant grump to Izzy, an arrogant grump who dos not find her explanation funny at all."
Affronter la nuit, tome 1 : La Légion d'Oria;;Reppelin Marie;Roman;Young Adult;Fantasy;;Pocket;;2025;400;Française;;16;;12/04/2025 20:32;Livre papier;9,78E+12;"La Déesse l'appelle... son destin l'attend.
Dans un monde où le soleil ne se couche qu'une fois par an, la Déesse Oria use d'un rayon magique pour révéler les rares Élus à qui elle insuffle son pouvoir. Ils forment la Légion et développent des dons puissants qu'ils apprennent à maîtriser au sein de l'Académie. Ils ont pour mission de défendre le pays contre les dragons. Si être touché par la Déesse représente un grand honneur... cela expose à de graves dangers.

Lorsque Liv Aubrey est désignée par Oria, elle rejoint l'Académie. Entraînement physique intense, leçons périlleuses...
sans compter l'étrange attirance qu'elle ressent pour Rylen Al'Sol, le Capitaine et formateur des nouveaux arrivants : Liv a beaucoup de choses à assimiler si elle espère survivre. Tout se complique quand elle commence à remettre en question l'enseignement reçu et la mission même…"
Again Again;Again Again;Lockhart E.;Roman;Adulte;Contemporain;Romance;Hot Key Books;;2020;320;Anglaise;;15,5;;29/10/2021 21:37;Livre papier;9,78E+12;"In this novel full of surprises from the New York Times bestselling author of We Were Liars and Genuine Fraud, E. Lockhart ups the ante with an inventive and romantic story about human connection, forgiveness, self-discovery, and possibility.

If you could live your life again, what would you do differently?

After a near-fatal family catastrophe and an unexpected romantic upheaval, Adelaide Buchwald finds herself catapulted into a summer of wild possibility, during which she will fall in and out of love a thousand times—while finally confronting the secrets she keeps, her ideas about love, and the weird grandiosity of the human mind.

A raw, funny story that will surprise you over and over, Again Again gives us an indelible heroine grappling with the terrible and wonderful problem of loving other people."
Âge tendre;;Beauvais Clémentine;Roman;Adolescence;Contemporain;;Sarbacane;;2020;378;Française;;17,3;;11/04/2024 18:42;Livre papier;9,78E+12;La présidente de la République ayant décidé que tout élève doit accomplir une année de service civique entre sa troisième et sa seconde, Valentin a posé ses voeux. Malheureusement pour lui, ils n'ont pas été respectés et l'adolescent est envoyé dans un centre pour personnes âgées atteintes d'Alzheimer, situé dans le Pas-de-Calais, conçu pour ressembler à un village des années 1960.
Alex, peut-être...;Alex, Approximately;Bennett Jenn;Roman;Young Adult;Romance;;"Simon &amp; Schuster";;2017;400;Anglaise;;16,2;;20/05/2024 20:16;Livre papier;;"Fan absolue de cinéma, Bailey Ridell a passé son année de lycée à discuter en ligne ave Alex, un geek également passionné des salles obscures. Et peut-être aussi à craquer un peu pour lui... Mais alors qu'elle s'apprête à le rencontrer, elle commence à paniquer. Et si c'était un pervers qui se cachait derrière son écran ? Ou tout simplement une déception dans la vraie vie ?
Dans le petit musée local où elle s'est dégoté un boulot pour l'été, elle se rapproche de Porter, un mystérieux surfer un brin impertinent. Mais avant de décider avec qui elle pourrait partager une belle histoire, Bailey veut découvrir qui est Alex. Elle va donc remonter sa piste pour le retrouver. Tandis que la vérité se dévoile, Bailey devra assumer celle qu'elle est vraiment et faire un choix. Alex, peut-être ?
"
Alice au Pays des Merveilles, De l'autre côté du miroir / Tout Alice / Alice au Pays des Merveilles suivi de La traversée du miroir;Alice in wonderland & Through the Looking-Glass, and What Alice Found There;Carroll Lewis;Roman;Adulte;Classique;Conte;Flammarion;;2016;328;Française;;15,4;;02/08/2021 14:27;Livre papier;9,78E+12;"Contient Alice au pays des merveilles et De l'autre côté du miroir

"" Quand le Lapin sortit une montre de son gousset, la regarda et reprit sa course, Alice se leva d'un bond car, en un éclair, elle réalisa qu'elle n'avait jamais vu un lapin avec un gousset et une montre à en sortir. Dévorée de curiosité, elle le suivit à travers champs, et eut juste le temps de le voir s'engouffrer dans un vaste terrier sous la haie. "" Pourquoi Alice s'étonnerait-elle alors de rencontrer chemin faisant une Reine de Cœur, un Griffon, un Chapelier, un Lièvre de Mars ou de prendre le thé chez les fous ? C'est au pays des merveilles que l'a entraînée le lapin blanc, un pays où elle ne cesse de changer de taille, et où tout peut arriver. Un pays que Lewis Carroll met en scène avec une rigueur impeccable dans la loufoquerie. Loin de la mièvrerie du conte enfantin, cette nouvelle traduction restitue au texte anglais toute sa verdeur mathématique.

Et si Alice entrait dans la maison du Miroir, cette fois-ci ? A peine en a-t-elle l'idée que la glace se brouille et que la jeune fille plonge dedans. Une nouvelle galerie de personnages inattendus défile alors, comme de lointains cousins du pays des merveilles : Reine Rouge et Reine Blanche, Gros Coco, Blanc Bonnet et Bonnet Blanc..."
Aliénor Mandragore, tome 1 : Merlin est mort, vive Merlin !;;Gauthier Séverine et Labourot Thomas;Bande-dessinée;Adulte;Fantasy;;Rue de Sèvres;;2015;60;Française;;15,9;;28/02/2017 23:12;Livre papier;;"« La légende dit qu’au moment où l’on déterre une racine de mandragore,
elle pousse un cri si puissant qu’il tue le premier être vivant qui l’entend. »

Dans la paisible forêt de Brocéliande, la jeune Aliénor suit l'enseignement druidique de son père Merlin, jusqu'au jour où l'enchanteur est tué, terrassé par le terrible cri d'une racine de mandragore. Mais Merlin n'entend pas rester mort bien longtemps. Aliénor pourra-t-elle le tirer d'affaire ?"
Allah n'est pas obligé;;Kourouma Ahmadou;Roman;Adulte;Drame;;Points;;2021;240;Française;;14;;02/08/2021 14:12;Livre papier;9,78E+12;Birahima, le narrateur de ce roman, a une douzaine d'années et il retrace son itinéraire d'enfant-soldat de l'Afrique contemporaine, entre le Liberia et la Sierra Leone. Orphelin, jeté sur les routes en compagnie d'un marabout mi-philosophe mi-escroc, Birahima se fait enrôler dans une bande de pillards. Kalachnikov en bandoulière, pour gagner sa solde, il va bientôt participer aux pires exactions. 'Allah n'est pas obligé d'être juste dans toutes les choses qu'il a créées ici-bas.' Telle est la maxime favorite du jeune Birahima pour justifier l'avalanche de malheurs qui s'est abattue sur lui depuis sa naissance. 
Alma (De Fombelle), tome 1 : Le vent se lève;;Fombelle Timothée de;Roman;Adolescence;Aventure;;Gallimard ;;2020;389;Française;;16,7;;23/06/2022 19:32;Livre papier;9,78E+12;1786. Quittant la vallée d'Afrique qui la protégeait du reste du monde, Alma, 13 ans, part seule à la recherche de son petit frère disparu. Pendant ce temps, à La Rochelle, le jeune Joseph Mars embarque clandestinement sur La Douce Amélie, l'imposant navire de traite du cruel capitaine Gardel. Il est en quête d'un immense trésor, mais c'est Alma qu'il va découvrir...
Alma (De Fombelle), tome 2 : L'enchanteuse;;Fombelle Timothée de;Roman;Adolescence;Aventure;;Gallimard ;;2021;432;Française;;16,8;;23/06/2022 19:32;Livre papier;9,78E+12;Printemps 1787. Un jour de tempête, Alma est jetée avec le jeune Joseph Mars au milieu des pirates d'une petite île des Caraïbes. Elle se laisse aussitôt entraîner vers Saint-Domingue à la poursuite du navire La Douce Amélie et de son introuvable trésor. Mais l'urgence de retrouver son petit frère, Lam, éloigne vite Alma de ces vies de chercheurs d'or et l'embarque à nouveau à travers les mers et les continents. En se séparant, les chemins de Joseph et Alma leur révèlent tout ce qui les unit.
